green,red,IR,acc_x,acc_y,acc_z,sample_index
83999,193366,207039,8.0554372829,-4.4362931003999995,3.0664021618999997,367
83527,193160,206910,8.1774712355,-4.3980079388,3.0077780082,368
83287,193023,206836,8.0949188558,-4.2891345105,2.9587251449000003,369
83164,192953,206804,8.1655071225,-4.4171505196,3.0364918793999998,370
83210,192958,206821,8.0781690976,-4.3812581806,3.0807590974999997,371
83358,192991,206819,7.9669028467,-4.4123648744,3.0197421212,372
83479,193066,206885,8.0219377665,-4.3393837851,3.0556344602,373
83532,193118,206866,8.01595571,-4.4769710846,3.0436703472,374
83643,193166,206923,8.2109707519,-4.3956151162,3.0065815969000003,375
83733,193208,206951,8.0674013959,-4.3513478981,3.0484559924,376
83851,193256,206983,8.2289169214,-4.3896330597,3.1022945009000003,377
83993,193312,206985,8.128418372199999,-4.3944187049,2.9706892578999997,378
84151,193363,207104,8.123632727,-4.4937208428,2.9838497821999996,379
84343,193489,207087,7.9992059518000005,-4.3752761241,2.9718856692,380
84525,193575,207204,8.0590265168,-4.4219361648,3.0364918793999998,381
84722,193661,207211,8.2037922841,-4.42672181,3.0484559924,382
84897,193748,207256,8.0817583315,-4.4410787456,3.0340990568,383
85100,193842,207369,8.1104722027,-4.4697926167999995,3.0508488149999997,384
85146,193937,207366,8.0470624038,-4.4291146326,3.0843483314,385
84713,193791,207337,8.0913296219,-4.5367916496,2.9742784918,386
83932,193528,207201,8.0889367993,-4.3920258823,3.0364918793999998,387
83288,193228,206980,8.1080793801,-4.3609191885,2.9694928465999997,388
82895,192998,206915,8.0315090569,-4.5008993106,3.0951160330999996,389
82711,192914,206828,8.074579863699999,-4.5487557626,3.0879375653000003,390
82702,192847,206774,8.0255270004,-4.382454591899999,2.9934210726,391
82824,192864,206793,8.070990629799999,-4.4590249151000005,3.1429724850999996,392
83008,192926,206865,8.1487573643,-4.3166519704,3.0221349438,393
83139,192993,206919,8.049455226400001,-4.4183469309,3.0891339766000003,394
83310,193049,206907,7.992027484,-4.2675991071,3.0317062341999996,395
83390,193108,206951,8.1092757914,-4.3992043501,3.0269205889999995,396
83507,193147,207010,8.1056865575,-4.3345981399,3.0221349438,397
83622,193184,206993,8.0865439767,-4.4183469309,3.0915267992,398
83809,193239,207074,8.1391860739,-4.474578262,2.9850461935,399
84005,193360,207108,8.1332040174,-4.415954108299999,2.9874390161,400
84182,193409,207158,8.0123664761,-4.4446679795,3.0436703472,401
84412,193500,207243,8.0183485326,-4.3752761241,2.9982067177999996,402
84613,193634,207276,8.1667035338,-4.4769710846,3.0508488149999997,403
84817,193703,207356,8.1320076061,-4.3094735026,3.0807590974999997,404
85032,193810,207372,8.123632727,-4.4614177377,3.0209385325,405
85233,193881,207419,8.102097323599999,-4.450650036,3.0831519201,406
85313,194020,207444,7.9992059518000005,-4.3776689467,3.0005995404,407
84943,193938,207460,8.0027951857,-4.4243289874,2.9599215562,408
